Year,GP_Name,Driver,LapNumber,Undercut_Successful,Gap_To_Ahead,Rival_Tyre_Age,Pace_Delta,Pit_Aggressiveness,StationaryDuration,InLap_Sec,OutLap_Sec
2022,Emilia Romagna,MAG,18.0,0,7.649000000000342,17.0,0.09399999999999409,0.0,33.754,98.853,122.522
2022,Emilia Romagna,STR,18.0,0,0.7510000000002037,17.0,-4.001000000000005,0.0,32.691,99.188,118.284
2022,Emilia Romagna,ALB,17.0,0,3.0299999999997453,16.0,0.1769999999999925,-1.0,30.763,98.914,116.43
2022,Emilia Romagna,GAS,17.0,0,5.743000000000393,16.0,0.7900000000000063,-1.0,30.378,98.941,116.443
2022,Emilia Romagna,HAM,18.0,0,0.41999999999916326,17.0,-0.1979999999999933,0.0,32.725,99.546,121.411
2022,Emilia Romagna,OCO,18.0,0,0.5750000000007276,17.0,-0.20199999999999818,0.0,31.415,99.831,117.412
2022,Emilia Romagna,ZHO,18.0,0,0.6390000000001237,17.0,0.23400000000000887,0.0,32.195,98.724,122.603
2022,Emilia Romagna,LAT,18.0,0,0.45499999999992724,17.0,-4.463000000000008,0.0,31.116,98.506,121.47
2022,Emilia Romagna,MSC,18.0,0,0.5249999999996362,17.0,-0.49200000000000443,0.0,31.311,98.696,120.415
2022,Emilia Romagna,MSC,52.0,0,4.2520000000004075,33.0,0.2360000000000042,2.0,31.033,86.471,105.184
2022,Emilia Romagna,RIC,2.0,0,0.9679999999998472,1.0,0.8899999999999864,-16.0,32.349,,133.778
2022,Emilia Romagna,RIC,16.0,1,4.032000000000153,15.0,1.5049999999999955,-2.0,30.409,101.335,117.356
2022,Emilia Romagna,RIC,30.0,0,1.3059999999995853,11.0,0.33499999999999375,-20.0,30.16,86.999,111.294
2022,Emilia Romagna,ALO,6.0,0,1.1229999999995925,5.0,2.605000000000004,-12.0,,100.245,
2022,Miami,VER,26.0,0,,,,4.0,18.819,98.505,108.047
2022,Miami,GAS,16.0,0,4.3149999999996,15.0,0.18500000000000227,-6.0,19.5,100.169,110.83
2022,Miami,GAS,40.0,0,1.1630000000004657,41.0,3.846999999999994,-1.0,18.995,123.527,
2022,Miami,GAS,45.0,0,85.09999999999945,3.0,,0.0,,112.962,
2022,Miami,PER,27.0,0,8.375,26.0,-0.6569999999999965,5.0,18.561,99.943,108.374
2022,Miami,PER,41.0,0,9.145000000000437,13.0,2.1700000000000017,0.0,18.466,126.061,131.29
2022,Miami,ALO,15.0,0,0.7870000000002619,14.0,-0.04999999999999716,-7.0,21.596,101.221,113.03
2022,Miami,LEC,24.0,0,4.530999999999949,23.0,-0.13400000000000034,2.0,19.718,98.829,111.128
2022,Miami,STR,40.0,0,1.8090000000001965,25.0,-0.45999999999999375,-1.0,19.088,109.446,131.776
2022,Miami,MAG,12.0,0,2.5219999999999345,11.0,-0.12400000000000944,-10.0,19.736,101.389,110.202
2022,Miami,MAG,42.0,0,2.6829999999999927,27.0,1.1970000000000027,1.0,20.649,120.983,128.984
2022,Miami,MAG,57.0,0,1.0270000000000437,18.0,1.3269999999999982,35.0,,,
2022,Miami,TSU,11.0,0,0.6509999999998399,10.0,1.0090000000000003,-11.0,18.848,101.385,111.044
2022,Miami,TSU,41.0,0,8.72400000000016,10.0,1.9200000000000017,0.0,19.489,,
2022,Miami,ALB,16.0,0,0.9420000000000073,15.0,-0.09399999999999409,-6.0,20.052,100.786,111.738
2022,Miami,ZHO,6.0,0,0.23399999999946886,5.0,-0.5020000000000095,-16.0,,121.705,
2022,Miami,RIC,30.0,0,7.5659999999998035,7.0,1.2289999999999992,8.0,19.506,100.604,111.887
2022,Miami,RIC,41.0,0,0.8519999999998618,24.0,-13.022000000000006,0.0,19.326,124.844,131.63
2022,Miami,OCO,41.0,0,25.860000000000582,40.0,3.183000000000007,0.0,19.028,122.285,131.736
2022,Miami,NOR,18.0,0,10.778000000000247,17.0,0.1419999999999959,-4.0,19.928,99.685,115.077
2022,Miami,HAM,22.0,0,6.869999999999891,21.0,0.9100000000000108,0.0,18.783,99.933,109.237
2022,Miami,MSC,14.0,0,2.751999999999498,13.0,-0.08500000000000796,-8.0,20.41,101.306,111.573
2022,Miami,MSC,54.0,0,0.26599999999962165,14.0,1.2180000000000035,13.0,32.385,111.02,121.556
2022,Miami,VET,41.0,0,7.621999999999389,28.0,5.160000000000011,0.0,19.861,125.54,132.994
2022,Miami,VET,54.0,0,1.6239999999997963,39.0,0.29999999999999716,32.0,,119.97,
2022,Miami,SAI,27.0,0,7.318000000000211,26.0,-3.048000000000002,5.0,22.044,99.604,112.158
2022,Miami,LAT,34.0,0,6.105999999999767,22.0,0.8860000000000099,-7.0,19.175,100.889,114.001
2022,Miami,RUS,40.0,0,12.291000000000167,12.0,0.3299999999999983,-1.0,19.016,103.317,132.581
2022,Miami,BOT,26.0,0,1.706000000000131,1.0,-16.671999999999997,4.0,19.607,99.185,110.508
2022,Spain,VER,13.0,0,1.126999999999498,15.0,0.04100000000001103,-2.5,22.19,92.379,105.251
2022,Spain,VER,28.0,0,0.6359999999995125,14.0,0.01999999999999602,-5.0,21.969,92.263,103.366
2022,Spain,VER,44.0,0,,,,28.5,22.021,90.814,103.854
2022,Spain,PER,17.0,0,16.13299999999981,16.0,0.7219999999999942,1.5,22.016,92.728,105.488
2022,Spain,PER,37.0,0,,,,4.0,21.592,92.252,104.438
2022,Spain,PER,53.0,0,4.339000000001761,8.0,0.8629999999999995,20.0,21.678,90.735,105.742
2022,Spain,RUS,13.0,0,10.173999999999978,12.0,0.3369999999999891,-2.5,22.029,92.39,105.382
2022,Spain,RUS,36.0,0,5.288000000000466,18.0,0.6680000000000064,3.0,22.021,92.633,104.507
2022,Spain,RUS,51.0,0,9.924999999999272,13.0,0.030000000000001137,18.0,22.821,90.898,103.495
2022,Spain,SAI,10.0,1,0.6319999999996071,9.0,-0.26300000000000523,-5.5,22.26,94.685,105.81
2022,Spain,SAI,31.0,0,7.951000000000022,5.0,3.094999999999999,-2.0,21.842,92.7,105.94
2022,Spain,SAI,45.0,0,1.6649999999999636,10.0,0.12600000000000477,12.0,22.209,91.806,104.598
2022,Spain,HAM,1.0,0,,,,-32.0,31.078,115.147,115.134
2022,Spain,HAM,22.0,0,1.8640000000004875,11.0,0.10500000000000398,6.5,22.052,94.486,105.871
2022,Spain,HAM,48.0,0,6.720999999999549,13.0,-0.7119999999999891,15.0,22.224,90.916,103.326
2022,Spain,BOT,14.0,0,4.243999999999687,16.0,-3.112000000000009,-1.5,22.972,93.231,107.922
2022,Spain,BOT,34.0,0,6.484000000000378,8.0,2.522999999999996,1.0,22.526,92.22,106.198
2022,Spain,OCO,13.0,0,4.376999999999498,15.0,0.27899999999999636,-2.5,22.106,93.395,106.958
2022,Spain,OCO,35.0,0,15.962999999999738,20.0,-2.8019999999999925,2.0,22.903,93.452,106.285
2022,Spain,OCO,52.0,0,4.201999999999316,6.0,4.373999999999995,36.5,22.04,92.228,104.279
2022,Spain,NOR,12.0,0,5.4229999999997744,11.0,0.3830000000000098,-3.5,21.929,92.651,107.09
2022,Spain,NOR,33.0,0,4.91399999999976,19.0,-0.554000000000002,0.0,23.285,92.718,109.283
2022,Spain,NOR,51.0,0,7.683999999999287,5.0,3.3629999999999995,35.5,22.133,91.363,104.828
2022,Spain,ALO,10.0,0,0.9510000000000218,12.0,-0.7120000000000033,-5.5,22.389,94.566,107.116
2022,Spain,ALO,31.0,0,3.7070000000003347,19.0,0.19999999999998863,-2.0,21.936,93.694,105.671
2022,Spain,ALO,53.0,0,7.082999999998719,20.0,-4.063999999999993,37.5,25.402,91.991,108.172
2022,Spain,TSU,11.0,0,0.2580000000007203,13.0,-0.6470000000000056,-4.5,23.071,93.713,108.5
2022,Spain,TSU,32.0,0,5.42699999999968,19.0,0.3580000000000041,-1.0,22.781,93.438,107.423
2022,Spain,TSU,52.0,0,5.654999999998836,20.0,0.7540000000000049,36.5,22.337,92.915,105.466
2022,Spain,VET,21.0,0,6.731999999999971,10.0,1.9170000000000016,5.5,22.469,94.637,107.632
2022,Spain,VET,42.0,0,6.162999999999556,11.0,1.784000000000006,26.5,22.475,93.219,107.252
2022,Spain,RIC,11.0,1,1.41399999999976,12.0,-0.5879999999999939,-4.5,22.118,95.648,107.813
2022,Spain,RIC,31.0,0,7.868000000000393,20.0,0.34600000000000364,15.5,22.39,94.152,107.364
2022,Spain,RIC,48.0,0,6.371999999999389,17.0,0.07399999999999807,15.0,22.134,92.494,107.158
2022,Spain,GAS,10.0,0,1.8370000000004438,9.0,2.0690000000000026,-5.5,21.886,95.542,106.89
2022,Spain,GAS,29.0,0,6.262000000000626,20.0,-0.41499999999999204,-4.0,27.924,94.406,112.145
2022,Spain,GAS,46.0,0,2.0349999999998545,4.0,2.269999999999996,30.5,21.916,93.241,106.282
2022,Spain,MSC,12.0,0,2.5599999999994907,11.0,0.8389999999999986,-3.5,23.572,94.895,109.062
2022,Spain,MSC,30.0,0,5.23700000000008,19.0,0.8010000000000019,14.5,23.099,94.265,106.912
2022,Spain,STR,14.0,0,3.798999999999978,16.0,-0.01099999999999568,-1.5,22.858,94.527,109.072
